country,region,year,Business_as_Usual_CO2_MT,Moderate_Transition_CO2_MT,Accelerated_Transition_CO2_MT
Algeria,MENA,2026,206.04131521062163,202.02731521062162,196.0063152106216
Algeria,MENA,2027,211.52478113464244,203.36340852621757,191.42239961358027
Algeria,MENA,2028,217.15418088998814,204.7083380001623,186.94568608387138
Algeria,MENA,2029,222.93339827632482,206.06216206976217,182.57366753274147
Algeria,MENA,2030,228.8664204545456,207.42493955879442,178.30389550364603
Argentina,LatAm,2026,179.9292221470494,176.3652221470494,171.0192221470494
Argentina,LatAm,2027,181.67522436836282,174.54933548248084,164.12780215365785
Argentina,LatAm,2028,183.4381694948945,172.75214549936916,157.51408000574293
Argentina,LatAm,2029,185.21822193768224,170.973459693466,151.1668655431552
Argentina,LatAm,2030,187.01554770318026,169.21308754257987,145.0754195263637
Australia,Oceania,2026,380.32263481088955,372.7046348108895,361.27763481088954
Australia,Oceania,2027,379.74614478733855,364.68559939490297,342.66613130624955
Australia,Oceania,2028,379.170528602778,356.83909987731073,325.0134141457588
Australia,Oceania,2029,378.59578493264974,349.1614240116031,308.27009069149875
Australia,Oceania,2030,378.0219124544033,341.64893942319435,292.38931280641395
Bangladesh,Asia,2026,140.5602277802808,137.8702277802808,133.83522778028077
Bangladesh,Asia,2027,146.89351400479123,141.32490489358,133.17374122676316
Bangladesh,Asia,2028,153.5121619922626,144.86614742531148,132.51552409989603
Bangladesh,Asia,2029,160.4290294176639,148.49612448460542,131.8605602403931
Bangladesh,Asia,2030,167.65755329008334,152.21705953294784,131.20883356883604
Belgium,Europe,2026,80.66936363246276,79.02536363246276,76.55936363246276
Belgium,Europe,2027,79.16722906163632,75.97333451633781,71.30579269839004
Belgium,Europe,2028,77.69306555897342,73.03917745163417,66.41272642697142
Belgium,Europe,2029,76.24635227855954,70.21834011595335,61.855426670873165
Belgium,Europe,2030,74.82657807308972,67.50644600159563,57.61085283621063
Brazil,LatAm,2026,473.51068705112857,464.13868705112856,450.08068705112856
Brazil,LatAm,2027,478.47283557753263,459.7198480954875,432.2932668724198
Brazil,LatAm,2028,483.48698486901225,455.34307875882166,415.2088146852658
Brazil,LatAm,2029,488.5536798668472,451.00797851672667,398.7995488331821
